position,link,title,source,date,snippet,thumbnail
3,https://housing.com/news/deepika-padukone-home/,Inside Deepika Padukone and Ranveer Singh’s house in Mumbai,Housing,"Feb 29, 2024","Get a glimpse of Ranveer Singh house and Deepika Padukone's house at 
Beaumonde Towers. Know about their new Bandra home worth Rs 119 crore.",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa0b5ccb2e0e61b9f228ba795b9f811b1f860cc5016676ee5db.jpeg
4,https://www.hindustantimes.com/real-estate/malaika-arora-rents-apartment-in-mumbai-for-about-rs-1-50-lakh-per-month-for-three-years-101715860937796.html,Malaika Arora rents apartment in Mumbai for about ₹1.50 lakh per month for three years,Hindustan Times,"May 16, 2024","Malaika Arora's apartment is located in Pali Hill, Bandra West. The rent is 
subject to a 5% escalation every year, the rent document showed.",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa08b4618572b42381c25d51bc9eca502c1ad7d78d43b6bc06c.jpeg
5,https://www.hindustantimes.com/real-estate/yashasvi-jaiswal-buys-dream-home-in-mumbai-for-rs-5-38-crore-101708573407350.html,Yashasvi Jaiswal buys dream home in Mumbai for ₹5.38 crore,Hindustan Times,"Feb 22, 2024","The size of the under construction apartment is 1100-square-foot and is 
located in Bandra (East). The property deal was registered in...",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa0429251414233cd26bd2fcd54a4e1d9c9062a9e1fd215d45f.jpeg
6,https://www.freepressjournal.in/mumbai/mumbai-real-estate-a-decade-of-stagnation-or-opportunity-insights-from-celebrity-sales-market-dynamics,"Mumbai Real Estate: A Decade Of Stagnation Or Opportunity? Insights From Celebrity Sales, Market Dynamics",Free Press Journal,"Dec 22, 2023","When actor Sonam Kapoor sold her luxury apartment in Mumbai's Bandra Kurla 
Complex for Rs 32.5 crore earlier this year, news started...",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa078d70989457ef6e9c5dce0eda57686b8af1e1ba80a039b36.jpeg
7,https://housing.com/news/chembur-to-witness-upward-price-movements-report/,Chembur to witness upward price movements: Report,Housing,"May 28, 2024","According to the report, Chembur has recorded a price appreciation, thus 
narrowing the pricing gap between the established markets in Mumbai like 
Bandra, Worli...",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa006a2c06bf428c3d1f6917e114b9087c71fc7e397a2dc78d8.jpeg
8,https://www.hindustantimes.com/real-estate/mumbai-redevelopment-micl-working-on-development-agreement-of-aamir-khan-s-housing-society-in-pali-hill-101710421626772.html,MICL working on development agreement of Aamir Khan’s housing society in Mumbai,Hindustan Times,"Mar 14, 2024","Man Infraconstruction Limited (MICL), a listed developer, that had 
announced that it will redevelop a housing society in Pali Hill area in 
Mumbai, where actor...",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa08a45e5731ae66a975e18de25972f58974b1cbb3e0ff3ef33.jpeg
9,https://housing.com/news/salman-khan-house/,Inside Salman Khan’s luxurious house,Housing,"Apr 16, 2024","Salman Khan house is a 1 BHK apartment in Galaxy Apartments Bandra. This 
has been Salman Khan house in Mumbai for more than 40 years now.",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa048c229ccb76f4716783d37c8ef6d12eb9bd689fadda59833.jpeg
10,https://timesofindia.indiatimes.com/business/india-business/the-address-by-gs-all-set-to-add-a-new-glitter-to-bandras-skyline/articleshow/108996667.cms,The Address by GS: All set to add a new glitter to Bandra’s skyline,Times of India,"Apr 3, 2024","India Business News: The Address by GS, Bandra can be truly classified as a 
modern architectural masterpiece being curated by Raymond Realty...",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa0822763b3d15937a24b48fb1775fc741b8f7c0b08931cd5e1.jpeg
1,https://www.bizzbuzz.news/industry/infra/office-buildings-in-mumbai-bkc-surpasses-manhattan-in-pricing-shifting-real-estate-dynamics-1300507,"Office buildings in Mumbai BKC Surpasses Manhattan in Pricing, Shifting Real Estate Dynamics",BizzBuzz,"Mar 19, 2024","The striking differences in commercial real estate markets between Mumbai's 
BKC and New York provide insights into pricing, trends,...",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d44cc8480e0afd49e691de877a0cf49a718e08a9103f5b9249.jpeg
2,https://www.businesstoday.in/real-estate/story/aamir-khan-amitabh-bachchan-buy-luxury-properties-in-mumbai-435220-2024-06-30,"Aamir Khan, Amitabh Bachchan buy luxury properties in Mumbai",Business Today,1 month ago,"Despite significant price appreciation over the last three years, Bollywood 
stars continue to invest in Mumbai real estate.",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d44974dc83dc517826c831b431f8ba43a7f3f38354ae384e4a.jpeg
3,https://www.hindustantimes.com/real-estate/shapoorji-pallonji-real-estate-raises-rs-55-crore-to-finance-new-luxury-housing-project-in-mumbai-101707202272212.html,Shapoorji Pallonji Real Estate raises ₹55 crore to finance new luxury housing,Hindustan Times,"Feb 6, 2024","Shapoorji Pallonji Real Estate anticipates revenue exceeding ₹250 crore 
from the premium project known as BKC 9 located in Bandra East.",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d41a547338ed5ba159e9a3df886eb093c8e4e9e12ae16a042c.jpeg
4,https://www.propnewstime.com/getdetailsStories/ODI5Nw==/from-luxury-to-budget-bandra-west-s-real-estate-market-thrives-in-may,From Luxury to Budget: Bandra West's real estate market thrives in May,Prop News Time,4 weeks ago,"Explore Bandra West, a neighborhood blending old-world charm with modern 
amenities, boasting vibrant culture, nightlife, and varied real...",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d45f53a9e8f5eb99285bc29fb72e5a8656653f3b8c8bb044a4.jpeg
5,https://www.hindustantimes.com/real-estate/motilal-oswals-top-official-buys-mumbai-apartment-for-over-rs-36-crore-101710341267341.html,Motilal Oswal's top official buys Mumbai apartment for over ₹36 crore,Hindustan Times,"Mar 13, 2024","The property is located in an under construction project called Satguru 
Rendezvous in Bandra West, Mumbai, the registration documents...",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d43da6cb0ef9a66716fcdd5f843c263c4cf3f50f28ab1b082e.jpeg
6,https://realty.economictimes.indiatimes.com/news/residential/raymond-to-redevelop-mig-vi-chs-society-in-mumbai/110824485,Raymond to redevelop MIG VI CHS society in Mumbai,ET Realty,"Jun 8, 2024","NEW DELHI: Raymond's real estate division has been selected as the 
preferred developer for redevelopment of MIG VI CHS located in Bandra...",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d4c9ce56e64a2d4cf05bb66c7fde8bd2f41031482753fa6456.jpeg
7,https://housing.com/news/neetu-rishi-kapoor-house-mumbai/,Krishna Raj bungalow: Inside Rishi Kapoor and Neetu Kapoor’s home,Housing,"Apr 8, 2024","The property holds special significance for the Kapoor family. Named after 
Rishi Kapoor's parents, Raj Kapoor and Krishna Kapoor,...",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d48cb4f22a47691ed4576d03c860535fa5352e17b1f29f2e3e.jpeg
8,https://www.hindustantimes.com/real-estate/bengalurubased-puravankara-ltd-appointed-developer-for-mumbai-s-pali-hill-redevelopment-project-101713889337846.html,Bengaluru-based Puravankara Ltd to redevelop housing society project in Mumbai’s Pali Hill,Hindustan Times,"Apr 24, 2024","The Mumbai redevelopment project has a cumulative estimated development 
potential of 4.10 lakh sq ft carpet area and a potential GDV of over...",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d463069f0ac57cb9da01d3d8cea25c089329e2ffec30a7f515.jpeg
9,https://www.hindustantimes.com/real-estate/4-real-estate-markets-to-watch-out-for-in-2024-101703328948252.html,Real estate in 2024: Four locations where you might want to put your money in,Hindustan Times,"Jan 4, 2024","The year 2024 is expected to be all about infrastructure projects such as 
new metro lines, expressways and airports shaping homebuying...",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d4e131dcd0b22458d9ca4270ec5903260ebcccae061a0d8f63.jpeg
