position,link,title,source,date,snippet,thumbnail,locality
3,https://housing.com/news/hiranandani-gardens-offers-boutique-homes-project-atlantis-mumbai/,"Hiranandani Gardens offers ‘Boutique Homes’ at its project Atlantis, in Mumbai",Housing,"Feb 23, 2023","The Hiranandani Group has launched 2-BHK 'Boutique Homes' at Hiranandani 
Gardens, Powai, in Mumbai, offering premium homes of 740 and 750 sq ft 
carpet area.",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa33642d74ff5c367e54d36226cf029b68aa194ce67a28ebd7f.jpeg,Fort
4,https://www.hindustantimes.com/cities/mumbai-news/aditya-birla-s-real-estate-arm-buys-prime-land-in-mumbai-s-malabar-hill-for-luxury-residential-project-at-rs-162-30-crore-101682413460667.html,Birla Estates acquires prime land in Malabar Hill,Hindustan Times,"Apr 25, 2023","This is the second purchase by the Aditya Birla group in less than two 
weeks. On April 10, BGH Properties Ltd, a company whose directors are...",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa3732d3c52733bf8b04a36fb8255c7213a9d6535f17525c0fd.jpeg,Fort
5,https://housing.com/news/promising-micro-locations-within-mmr-across-segments/,"Most promising micro-locations within the MMR, across segments",Housing,"Dec 9, 2020","With Mumbai accounting for the highest number of new launches and sales 
among the top seven cities in India in Q2 2018, we look at the top 
micro-markets in the...",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa3815fe7f15e07aece80bd6c516be85d1c081b306e5f4e7245.jpeg,Fort
6,https://www.hindustantimes.com/cities/mumbai-news/vedantas-kiran-agarwal-splashes-out-1-45-lakh-per-sq-ft-for-worli-flat-101657900333013.html,Vedanta’s Kiran Agarwal splashes out ₹1.45 lakh per sq.ft for Worli flat,Hindustan Times,"Jul 15, 2022","Kiran Anil Agarwal has bought a 3088.38 sq.ft apartment in Worli at ₹1.45 
lakh per sq.ft, shelling out ₹45 crore for the 36th floor apartment.",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa32349317f414f75df0a5f07f3e002c6753d9a31ed9143e523.jpeg,Fort
7,https://realty.economictimes.indiatimes.com/news/residential/mumbai-16th-most-expensive-global-prime-residential-market-report/68287027,Mumbai 16th most expensive global prime residential market: Report,ET Realty,"Mar 6, 2019","MUMBAI: Mumbai, the country's commercial capital, has emerged as the 16th 
most expensive prime residential property market in the world.",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa3e5c8f4cdcb716fd6f9f4d6b80b92e1f529bc273c1cd0d9f6.jpeg,Fort
8,https://housing.com/news/top-libraries-in-mumbai/,Top libraries in Mumbai,Housing,"Aug 21, 2023","Best libraries in Mumbai:Maharashtra Mitra Mandal Library,Asiatic Library, 
JN Petit Library, Trilogy Library And Book Store, People's Free...",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa310cc4d08cc912ef632884165781f14f36257c872cd55abd7.jpeg,Fort
9,https://housing.com/news/alia-bhatt-house/,Alia Bhatt house: Inside the Bollywood star’s Mumbai home,Housing,"May 11, 2023","Eternal Sunshine Productions Pvt Ltd., Alia Bhatt's production house has 
invested in Rs 37.80 crore apartment in Pali Hill, Bandra.",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa3e17adc5b51767ca1f9b0399fefc3b6d505212d1694241bbb.jpeg,Fort
10,https://www.business-standard.com/article/companies/fort-house-may-be-tatas-new-hq-as-bombay-house-goes-for-a-facelift-117082800037_1.html,Fort House may be Tatas' new HQ as Bombay House goes for a facelift,Business Standard,"Aug 28, 2017","The Tata group is in advanced talks to take up rented space in Fort House, 
a heritage building in south Mumbai, while the conglomerate's headquarters 
— Bombay...",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa380fe3e48acd32690879ec6c6ef37a54003554dab5230510f.jpeg,Fort
1,https://housing.com/news/net-absorption-new-completions-of-office-space-in-mumbai/,"Net absorption, new completions of office space in Mumbai jumps in 2021",Housing,"Mar 20, 2022","Mumbai mirrored a nation-wide trend of marked improvement in office real 
estate segment, with healthy pre-commitment levels in newly...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e4860d790584b94ddd286a7792f2b00f026eb4e50c2fe1896d28.jpeg,Fort
2,https://www.hindustantimes.com/india-news/luxury-flat-rush-in-mumbai-as-capital-gains-deduction-on-real-estate-limited-to-10-crore-from-saturday-101680199813543.html,Ultra-luxury Malabar Hill flats fetch ₹369.55 cr,Hindustan Times,"Mar 31, 2023","Ultra-luxury flats in Mumbai are in high demand as a new rule limiting the 
deduction on capital gains from real estate to INR10 crore...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e48699a94ed7479f4baf93b662140d3eba8ac1872c385294c005.png,Fort
